old	new	source
seqv-cursor-step	eseq.sequencer/track-cursor	content/ui/sequencer.lisp
seqv-drop-new-track	eseq.sequencer/drop-new-track	content/ui/sequencer.lisp
seqv-drop-on-track	eseq.sequencer/drop-on-track	content/ui/sequencer.lisp
seqv-drop-sample-on-track	eseq.sequencer/drop-sample-on-track	content/ui/sequencer.lisp
seqv-drum-sound-count	eseq.seqv-track-params/seqv-drum-sound-count	content/ui/seqv-track-params.lisp
seqv-drum-sound-index-for-transpose	eseq.seqv-track-params/seqv-drum-sound-index-for-transpose	content/ui/seqv-track-params.lisp
seqv-drum-sound-label-for-transpose	eseq.seqv-track-params/seqv-drum-sound-label-for-transpose	content/ui/seqv-track-params.lisp
seqv-drum-sound-labels	eseq.seqv-track-params/seqv-drum-sound-labels	content/ui/seqv-track-params.lisp
seqv-drum-sound-mode?	eseq.seqv-track-params/seqv-drum-sound-mode?	content/ui/seqv-track-params.lisp
seqv-drum-sound-short-labels	eseq.seqv-track-params/seqv-drum-sound-short-labels	content/ui/seqv-track-params.lisp
seqv-drum-sound-transpose-at-index	eseq.seqv-track-params/seqv-drum-sound-transpose-at-index	content/ui/seqv-track-params.lisp
seqv-drum-sound-transpose-for-label	eseq.seqv-track-params/seqv-drum-sound-transpose-for-label	content/ui/seqv-track-params.lisp
seqv-expanded-track-ids	eseq.sequencer/expanded-track-ids	content/ui/sequencer.lisp
seqv-handle-key	eseq.sequencer/handle-key	content/ui/sequencer.lisp
seqv-open-piano-roll-for-track	eseq.sequencer/open-piano-roll-for-track	content/ui/sequencer.lisp
seqv-param-color	eseq.seqv-track-params/seqv-param-color	content/ui/seqv-track-params.lisp
seqv-param-decimals	eseq.seqv-track-params/seqv-param-decimals	content/ui/seqv-track-params.lisp
seqv-param-haptic-exponent	eseq.seqv-track-params/seqv-param-haptic-exponent	content/ui/seqv-track-params.lisp
seqv-param-haptic-pivot-position	eseq.seqv-track-params/seqv-param-haptic-pivot-position	content/ui/seqv-track-params.lisp
seqv-param-keyword	eseq.seqv-track-params/seqv-param-keyword	content/ui/seqv-track-params.lisp
seqv-param-max	eseq.seqv-track-params/seqv-param-max	content/ui/seqv-track-params.lisp
seqv-param-min	eseq.seqv-track-params/seqv-param-min	content/ui/seqv-track-params.lisp
seqv-param-mode	eseq.sequencer/track-param-mode	content/ui/sequencer.lisp
seqv-param-mode-for-key	eseq.sequencer/param-mode-for-key	content/ui/sequencer.lisp
seqv-param-name	eseq.seqv-track-params/seqv-param-name	content/ui/seqv-track-params.lisp
seqv-param-origin	eseq.seqv-track-params/seqv-param-origin	content/ui/seqv-track-params.lisp
seqv-param-value-at	eseq.seqv-track-params/seqv-param-value-at	content/ui/seqv-track-params.lisp
seqv-process-lane-index	eseq.seqv-track-params/seqv-process-lane-index	content/ui/seqv-track-params.lisp
seqv-process-lane-mode-offset	eseq.seqv-track-params/seqv-process-lane-mode-offset	content/ui/seqv-track-params.lisp
seqv-process-lane-mode?	eseq.seqv-track-params/seqv-process-lane-mode?	content/ui/seqv-track-params.lisp
seqv-range-origin	eseq.seqv-track-params/seqv-range-origin	content/ui/seqv-track-params.lisp
seqv-select-all-current-track-steps	eseq.sequencer/select-all-current-track-steps	content/ui/sequencer.lisp
seqv-select-process-lane-option	eseq.sequencer/select-process-lane-option	content/ui/sequencer.lisp
seqv-select-track-for-edit	eseq.sequencer/select-track-for-edit	content/ui/sequencer.lisp
seqv-set-cursor-step	eseq.sequencer/set-track-cursor	content/ui/sequencer.lisp
seqv-set-param-mode	eseq.sequencer/set-track-param-mode	content/ui/sequencer.lisp
seqv-set-track-expanded	eseq.sequencer/set-track-expanded	content/ui/sequencer.lisp
seqv-step-param-value	eseq.seqv-track-params/seqv-step-param-value	content/ui/seqv-track-params.lisp
seqv-step-pointer-down	eseq.sequencer/grid-step-pointer-down	content/ui/sequencer.lisp
seqv-step-pointer-up	eseq.sequencer/grid-step-pointer-up	content/ui/sequencer.lisp
seqv-step-slider-param-value	eseq.seqv-track-params/seqv-step-slider-param-value	content/ui/seqv-track-params.lisp
seqv-toggle-current-track-expanded	eseq.sequencer/toggle-current-track-expanded	content/ui/sequencer.lisp
seqv-track-drum-rack?	eseq.seqv-track-params/seqv-track-drum-rack?	content/ui/seqv-track-params.lisp
seqv-track-drum-sounds	eseq.seqv-track-params/seqv-track-drum-sounds	content/ui/seqv-track-params.lisp
seqv-track-header	eseq.sequencer/track-header	content/ui/sequencer.lisp
seqv-track-menu-click	eseq.sequencer/track-menu-click	content/ui/sequencer.lisp
seqv-track-param-decimals	eseq.seqv-track-params/seqv-track-param-decimals	content/ui/seqv-track-params.lisp
seqv-track-param-haptic-pivot-value	eseq.seqv-track-params/seqv-track-param-haptic-pivot-value	content/ui/seqv-track-params.lisp
seqv-track-param-max	eseq.seqv-track-params/seqv-track-param-max	content/ui/seqv-track-params.lisp
seqv-track-param-min	eseq.seqv-track-params/seqv-track-param-min	content/ui/seqv-track-params.lisp
seqv-track-param-name	eseq.seqv-track-params/seqv-track-param-name	content/ui/seqv-track-params.lisp
seqv-track-param-origin	eseq.seqv-track-params/seqv-track-param-origin	content/ui/seqv-track-params.lisp
seqv-track-param-slider-max	eseq.seqv-track-params/seqv-track-param-slider-max	content/ui/seqv-track-params.lisp
seqv-track-param-slider-min	eseq.seqv-track-params/seqv-track-param-slider-min	content/ui/seqv-track-params.lisp
seqv-track-param-values	eseq.seqv-track-params/seqv-track-param-values	content/ui/seqv-track-params.lisp
seqv-track-process-lane	eseq.seqv-track-params/seqv-track-process-lane	content/ui/seqv-track-params.lisp
seqv-track-process-lanes	eseq.seqv-track-params/seqv-track-process-lanes	content/ui/seqv-track-params.lisp
seqv-track-selected-binding	eseq.sequencer/track-selected-binding	content/ui/sequencer.lisp
seqv-track-step-param-value	eseq.seqv-track-params/seqv-track-step-param-value	content/ui/seqv-track-params.lisp
seqv-track-step-slider-param-value	eseq.seqv-track-params/seqv-track-step-slider-param-value	content/ui/seqv-track-params.lisp
set-arrangement-cursor	eseq.arrangement/set-cursor	content/ui/arrangement.lisp
set-arrangement-view-start	eseq.arrangement/set-view-start	content/ui/arrangement.lisp
set-cursor-step-value	eseq.seq-core-state/set-cursor-step-value	content/ui/seq-core-state.lisp
set-track-cursor-step	eseq.step-grid-interactions/set-track-cursor-step	content/ui/step-grid-interactions.lisp
